ID,Cycle,Condition,Block,Trials,Relation,Code,Comparisons
59,1,7,1,2,C-D,T01,1
60,1,7,1,2,C-D,T02,1
61,1,7,1,2,C-D,T03,1
62,1,7,1,2,C-D,T04,1
63,1,7,1,2,C-D,T05,1
64,1,7,1,2,C-D,T06,1
65,1,7,1,2,C-D,T07,1
66,1,7,1,2,C-D,T08,1
67,1,7,1,2,C-D,T09,1
68,1,7,1,2,C-D,T10,1
69,1,7,1,2,C-D,T11,1
70,1,7,1,2,C-D,T12,1
71,1,7,1,2,C-D,R01,1
72,1,7,1,2,C-D,R02,1
73,1,7,1,2,C-D,A01,1
74,1,7,1,2,C-D,A02,1
75,1,7,1,2,C-D,A03,1
76,1,7,1,2,C-D,A04,1
77,1,7,1,2,C-D,A05,1
78,1,7,1,2,C-D,A06,1
79,1,7,1,2,C-D,A07,1
80,1,7,1,2,C-D,A08,1
81,1,7,1,2,C-D,A09,1
82,1,7,1,2,C-D,A10,1
83,1,7,1,2,C-D,A11,1
84,1,7,1,2,C-D,A12,1
