ID,BackUpBlock,BackUpBlockErrors,MaxBlockRepetition,MaxBlockRepetitionInSession,EndSessionOnHitCriterion,NextBlockOnHitCriterion,HitCriterion,Reinforcement
1,0,0,0,0,0,4,83,100
2,0,0,0,0,0,0,83,100
3,0,0,0,0,0,0,83,100
4,0,0,0,0,0,7,83,100
5,0,0,0,0,0,0,83,100
6,0,0,0,0,0,0,83,100
7,0,0,0,0,0,10,83,100
8,0,0,0,0,0,0,83,100
9,0,0,0,0,0,0,83,100
10,0,0,0,0,0,13,83,100
11,0,0,0,0,0,0,83,100
12,0,0,0,0,0,0,83,100
13,0,0,0,0,0,16,83,100
14,0,0,0,0,0,0,83,100
15,0,0,0,0,0,0,83,100
16,0,0,0,0,0,19,83,100
17,0,0,0,0,0,0,83,100
18,0,0,0,0,0,0,83,100
19,0,0,0,0,0,22,83,100
20,0,0,0,0,0,0,83,100
21,0,0,0,0,0,0,83,100
22,0,0,0,0,0,25,83,100
23,0,0,0,0,0,0,83,100
24,0,0,0,0,0,0,83,100
25,0,0,0,0,0,28,83,100
26,0,0,0,0,0,0,83,100
27,0,0,0,0,0,0,83,100
28,0,0,0,0,0,31,83,100
29,0,0,0,0,0,0,83,100
30,0,0,0,0,0,0,83,100
31,0,0,0,0,0,34,83,100
32,0,0,0,0,0,0,83,100
33,0,0,0,0,0,0,83,100
34,0,0,0,0,0,37,83,100
35,0,0,0,0,0,0,83,100
36,0,0,0,0,0,0,83,100
37,0,0,0,0,0,40,83,100
38,0,0,0,0,0,0,83,100
39,0,0,0,0,0,0,83,100
40,0,0,0,0,0,43,83,100
41,0,0,0,0,0,0,83,100
42,0,0,0,0,0,0,83,100
43,0,0,0,0,0,46,83,100
44,0,0,0,0,0,0,83,100
45,0,0,0,0,0,0,83,100
46,0,0,0,0,0,49,83,100
47,0,0,0,0,0,0,83,100
48,0,0,0,0,0,0,83,100
49,0,0,0,0,0,52,83,100
50,0,0,0,0,0,0,83,100
51,0,0,0,0,0,0,83,100
52,0,0,0,0,0,55,83,100
53,0,0,0,0,0,0,83,100
54,0,0,0,0,0,0,83,100
55,0,0,0,0,0,58,83,100
56,0,0,0,0,0,0,83,100
57,0,0,0,0,0,0,83,100
58,0,0,0,0,0,61,83,100
59,0,0,0,0,0,0,83,100
60,0,0,0,0,0,0,83,100
61,0,0,0,0,0,64,83,100
62,0,0,0,0,0,0,83,100
63,0,0,0,0,0,0,83,100
64,0,0,0,0,0,67,83,100
65,0,0,0,0,0,0,83,100
66,0,0,0,0,0,0,83,100
67,0,0,0,0,0,70,83,100
68,0,0,0,0,0,0,83,100
69,0,0,0,0,0,0,83,100
70,0,0,0,0,0,73,83,100
71,0,0,0,0,0,0,83,100
72,0,0,0,0,0,0,83,100
73,0,0,0,0,0,76,83,100
74,0,0,0,0,0,0,83,100
75,0,0,0,0,0,0,83,100
76,0,0,0,0,0,79,83,100
77,0,0,0,0,0,0,83,100
78,0,0,0,0,0,0,83,100
79,0,0,0,0,T,0,83,100
80,0,0,0,0,0,0,83,100
81,0,0,0,0,0,0,83,100
