ID,Relation,TotalLoops,Trials,HasPrompt,Subset,S1,C2
1,C-C,-1,2,F,onset,mat,sat
2,C-C,-1,2,F,onset,sat,mat
3,C-C,-1,2,F,onset,mib,sib
4,C-C,-1,2,F,onset,sib,mib
5,C-C,-1,2,F,onset,mob,sob
6,C-C,-1,2,F,onset,sob,mob
7,C-C,-1,2,F,onset,mup,sup
8,C-C,-1,2,F,onset,sup,mup
9,C-C,-1,2,F,onset,min,sin
10,C-C,-1,2,F,onset,sin,min
11,C-C,-1,2,F,onset,med,sed
12,C-C,-1,2,F,onset,sed,med
13,A-C,-1,3,F,onset,mat,sat
14,A-C,-1,3,F,onset,sat,mat
15,A-C,-1,3,T,onset,mat,sat
16,A-C,-1,3,T,onset,sat,mat
17,A-C,-1,3,F,onset,mib,sib
18,A-C,-1,3,F,onset,sib,mib
19,A-C,-1,3,T,onset,mib,sib
20,A-C,-1,3,T,onset,sib,mib
21,A-C,-1,3,F,onset,mob,sob
22,A-C,-1,3,F,onset,sob,mob
23,A-C,-1,3,T,onset,mob,sob
24,A-C,-1,3,T,onset,sob,mob
25,A-C,-1,3,F,onset,mup,sup
26,A-C,-1,3,F,onset,sup,mup
27,A-C,-1,3,T,onset,mup,sup
28,A-C,-1,3,T,onset,sup,mup
29,A-C,-1,3,F,onset,min,sin
30,A-C,-1,3,F,onset,sin,min
31,A-C,-1,3,T,onset,min,sin
32,A-C,-1,3,T,onset,sin,min
33,A-C,-1,3,F,onset,med,sed
34,A-C,-1,3,F,onset,sed,med
35,A-C,-1,3,T,onset,med,sed
36,A-C,-1,3,T,onset,sed,med
37,C-C,-1,2,F,rime,kog,kib
38,C-C,-1,2,F,rime,kib,kog
39,C-C,-1,2,F,rime,sog,sib
40,C-C,-1,2,F,rime,sib,sog
41,C-C,-1,2,F,rime,nog,nib
42,C-C,-1,2,F,rime,nib,nog
43,C-C,-1,2,F,rime,tog,tib
44,C-C,-1,2,F,rime,tib,tog
45,C-C,-1,2,F,rime,mog,mib
46,C-C,-1,2,F,rime,mib,mog
47,C-C,-1,2,F,rime,pog,pib
48,C-C,-1,2,F,rime,pib,pog
49,A-C,-1,3,F,rime,kog,kib
50,A-C,-1,3,F,rime,kib,kog
51,A-C,-1,3,T,rime,kog,kib
52,A-C,-1,3,T,rime,kib,kog
53,A-C,-1,3,F,rime,sog,sib
54,A-C,-1,3,F,rime,sib,sog
55,A-C,-1,3,T,rime,sog,sib
56,A-C,-1,3,T,rime,sib,sog
57,A-C,-1,3,F,rime,nog,nib
58,A-C,-1,3,F,rime,nib,nog
59,A-C,-1,3,T,rime,nog,nib
60,A-C,-1,3,T,rime,nib,nog
61,A-C,-1,3,F,rime,tog,tib
62,A-C,-1,3,F,rime,tib,tog
63,A-C,-1,3,T,rime,tog,tib
64,A-C,-1,3,T,rime,tib,tog
65,A-C,-1,3,F,rime,mog,mib
66,A-C,-1,3,F,rime,mib,mog
67,A-C,-1,3,T,rime,mog,mib
68,A-C,-1,3,T,rime,mib,mog
69,A-C,-1,3,F,rime,pog,pib
70,A-C,-1,3,F,rime,pib,pog
71,A-C,-1,3,T,rime,pog,pib
72,A-C,-1,3,T,rime,pib,pog
73,C-C,-1,2,F,coda,mot,mog
74,C-C,-1,2,F,coda,mog,mot
75,C-C,-1,2,F,coda,sot,sog
76,C-C,-1,2,F,coda,sog,sot
77,C-C,-1,2,F,coda,bot,bog
78,C-C,-1,2,F,coda,bog,bot
79,C-C,-1,1,F,coda,rot,rog
80,C-C,-1,1,F,coda,rog,rot
81,C-C,-1,1,F,coda,tep,tek
82,C-C,-1,1,F,coda,tek,tep
83,C-C,-1,1,F,coda,rep,rek
84,C-C,-1,1,F,coda,rek,rep
85,C-C,-1,1,F,coda,nep,nek
86,C-C,-1,1,F,coda,nek,nep
87,C-C,-1,1,F,coda,fep,fek
88,C-C,-1,1,F,coda,fek,fep
89,C-C,-1,1,F,coda,jep,jek
90,C-C,-1,1,F,coda,jek,jep
91,A-C,-1,3,F,coda,mot,mog
92,A-C,-1,3,F,coda,mog,mot
93,A-C,-1,3,T,coda,mot,mog
94,A-C,-1,3,T,coda,mog,mot
95,A-C,-1,3,F,coda,sot,sog
96,A-C,-1,3,F,coda,sog,sot
97,A-C,-1,3,T,coda,sot,sog
98,A-C,-1,3,T,coda,sog,sot
99,A-C,-1,3,F,coda,bot,bog
100,A-C,-1,3,F,coda,bog,bot
101,A-C,-1,3,T,coda,bot,bog
102,A-C,-1,3,T,coda,bog,bot
103,A-C,-1,3,F,coda,rot,rog
104,A-C,-1,3,F,coda,rog,rot
105,A-C,-1,3,T,coda,rot,rog
106,A-C,-1,3,T,coda,rog,rot
107,A-C,-1,3,F,coda,tep,tek
108,A-C,-1,3,F,coda,tek,tep
109,A-C,-1,3,T,coda,tep,tek
110,A-C,-1,3,T,coda,tek,tep
111,A-C,-1,3,F,coda,rep,rek
112,A-C,-1,3,F,coda,rek,rep
113,A-C,-1,3,T,coda,rep,rek
114,A-C,-1,3,T,coda,rek,rep
115,A-C,-1,3,F,coda,nep,nek
116,A-C,-1,3,F,coda,nek,nep
117,A-C,-1,3,T,coda,nep,nek
118,A-C,-1,3,T,coda,nek,nep
119,A-C,-1,3,F,coda,fep,fek
120,A-C,-1,3,F,coda,fek,fep
121,A-C,-1,3,T,coda,fep,fek
122,A-C,-1,3,T,coda,fek,fep
123,A-C,-1,3,F,coda,jep,jek
124,A-C,-1,3,F,coda,jek,jep
125,A-C,-1,3,T,coda,jep,jek
126,A-C,-1,3,T,coda,jek,jep
127,C-C,-1,2,F,vowel,kog,kag
128,C-C,-1,2,F,vowel,kag,kog
129,C-C,-1,2,F,vowel,sog,sag
130,C-C,-1,2,F,vowel,sag,sog
131,C-C,-1,2,F,vowel,nog,nag
132,C-C,-1,2,F,vowel,nag,nog
133,C-C,-1,2,F,vowel,tog,tag
134,C-C,-1,2,F,vowel,tag,tog
135,C-C,-1,2,F,vowel,mog,mag
136,C-C,-1,2,F,vowel,mag,mog
137,C-C,-1,2,F,vowel,pog,pag
138,C-C,-1,2,F,vowel,pag,pog
139,A-C,-1,3,F,vowel,kog,kag
140,A-C,-1,3,F,vowel,kag,kog
141,A-C,-1,3,T,vowel,kog,kag
142,A-C,-1,3,T,vowel,kag,kog
143,A-C,-1,3,F,vowel,sog,sag
144,A-C,-1,3,F,vowel,sag,sog
145,A-C,-1,3,T,vowel,sog,sag
146,A-C,-1,3,T,vowel,sag,sog
147,A-C,-1,3,F,vowel,nog,nag
148,A-C,-1,3,F,vowel,nag,nog
149,A-C,-1,3,T,vowel,nog,nag
150,A-C,-1,3,T,vowel,nag,nog
151,A-C,-1,3,F,vowel,tog,tag
152,A-C,-1,3,F,vowel,tag,tog
153,A-C,-1,3,T,vowel,tog,tag
154,A-C,-1,3,T,vowel,tag,tog
155,A-C,-1,3,F,vowel,mog,mag
156,A-C,-1,3,F,vowel,mag,mog
157,A-C,-1,3,T,vowel,mog,mag
158,A-C,-1,3,T,vowel,mag,mog
159,A-C,-1,3,F,vowel,pog,pag
160,A-C,-1,3,F,vowel,pag,pog
161,A-C,-1,3,T,vowel,pog,pag
162,A-C,-1,3,T,vowel,pag,pog
163,C-D,0,2,T,onset,mat,
164,C-D,0,2,T,onset,mup,
165,C-D,0,2,T,onset,sup,
166,C-D,0,2,T,rime,mog,
167,C-D,0,2,T,rime,nib,
168,C-D,0,2,T,rime,tib,
169,C-D,0,2,T,coda,bog,
170,C-D,0,2,T,coda,fek,
171,C-D,0,2,T,coda,jep,
172,C-D,0,2,T,coda,rot,
