ID,Condition,Trials,Relation,Code,Comparisons
1,1,1,A-B,T1,1
2,1,2,A-B,T1,2
3,1,3,A-B,T1,3
4,1,1,A-B,T2,1
5,1,2,A-B,T2,2
6,1,2,A-B,T1,2
7,1,2,A-B,T2,2
8,1,3,A-B,T1,3
9,1,3,A-B,T2,3
10,1,1,A-B,R1,1
11,1,2,A-B,R1,2
12,1,2,A-B,R1,2
13,1,2,A-B,T2,2
14,1,2,A-B,T1,2
15,1,3,A-B,R1,3
16,1,3,A-B,T2,3
17,1,3,A-B,T1,3
18,1,1,A-B,R2,1
19,1,2,A-B,R2,2
20,1,2,A-B,R2,2
21,1,2,A-B,R1,2
22,1,2,A-B,T2,2
23,1,2,A-B,T1,2
24,1,3,A-B,R2,3
25,1,3,A-B,R1,3
26,1,3,A-B,T2,3
27,1,3,A-B,T1,3
28,2,1,A-C,T1,1
29,2,4,A-C,T1,2
30,2,6,A-C,T1,3
31,2,2,C-D,T1,1
32,2,1,A-C,T2,1
33,2,4,A-C,T2,2
34,2,4,A-C,T2,2
35,2,4,A-C,T1,2
36,2,6,A-C,T2,3
37,2,3,A-C,T1,3
38,2,2,C-D,T2,1
39,2,3,A-C,T2,3
40,2,3,A-C,T1,3
41,2,2,C-D,T1,1
42,2,2,C-D,T2,1
43,3,3,B-C,T1,3
44,3,3,B-C,T2,3
45,3,3,C-B,T1,3
46,3,3,C-B,T2,3
47,4,3,B-C,R1,3
48,4,3,B-C,R2,3
49,4,3,C-B,R1,3
50,4,3,C-B,R2,3
51,5,2,C-D,A1,1
52,5,2,C-D,A2,1
53,5,2,C-D,R1,1
54,5,2,C-D,R2,1
55,6,2,A-C,A1,3
56,6,2,A-C,A2,3
57,6,2,A-C,R1,3
58,6,2,A-C,R2,3
59,7,1,C-D,T01,1
60,7,1,C-D,T02,1
61,7,1,C-D,T03,1
62,7,1,C-D,T04,1
63,7,1,C-D,T05,1
64,7,1,C-D,T06,1
65,7,1,C-D,T07,1
66,7,1,C-D,T08,1
67,7,1,C-D,T09,1
68,7,1,C-D,T10,1
69,7,1,C-D,T11,1
70,7,1,C-D,T12,1
71,7,1,C-D,A07,1
72,7,1,C-D,A08,1
73,7,1,C-D,A09,1
74,7,1,C-D,A10,1
75,7,1,C-D,A13,1
76,7,1,C-D,A14,1
77,7,1,C-D,A15,1
78,7,1,C-D,A16,1
79,8,1,C-D,T01,1
80,8,1,C-D,T02,1
81,8,1,C-D,T03,1
82,8,1,C-D,T04,1
83,8,1,C-D,T05,1
84,8,1,C-D,T06,1
85,8,1,C-D,T07,1
86,8,1,C-D,T08,1
87,8,1,C-D,T09,1
88,8,1,C-D,T10,1
89,8,1,C-D,T11,1
90,8,1,C-D,T12,1
91,8,1,C-D,R01,1
92,8,1,C-D,R02,1
93,8,1,C-D,A01,1
94,8,1,C-D,A02,1
95,8,1,C-D,A03,1
96,8,1,C-D,A04,1
97,8,1,C-D,A05,1
98,8,1,C-D,A06,1
99,8,1,C-D,A07,1
100,8,1,C-D,A08,1
101,8,1,C-D,A09,1
102,8,1,C-D,A10,1
103,8,1,C-D,A11,1
104,8,1,C-D,A12,1
105,8,1,C-D,A13,1
106,8,1,C-D,A14,1
107,8,1,C-D,A15,1
108,8,1,C-D,A16,1
