ID,Name,EndSessionOnCriterion,EndSessionOnNotCriterionAfterBlockRepetitions,RepeatStyle,EndCriterionStyle,EndCriterionEvaluationTime,MaxBlockRepetitionConsecutives,MaxBlockRepetitionInSession,NextBlockOnCriterion,NextBlockOnNotCriterion,EndCriterionValue,Reinforcement
1,Training-AC,False,False,Global,MissCount,OnBlockEnd,,,2,0,100,100
2,Training-AC,False,False,Global,MissCount,OnBlockEnd,,,3,1,75,100
3,Training-AC,False,False,Global,MissCount,OnBlockEnd,,,4,2,83,100
4,Training-CD,False,False,Global,MissCount,OnBlockEnd,,,5,3,100,100
5,Training-AC,False,False,Global,MissCount,OnBlockEnd,,,6,0,100,100
6,Training-AC,False,False,Global,MissCount,OnBlockEnd,,,7,5,100,100
7,Training-AC,False,False,Global,MissCount,OnBlockEnd,,,8,6,100,100
8,Training-AC,False,False,Global,MissCount,OnBlockEnd,,,9,7,75,100
9,Training-CD,False,False,Global,MissCount,OnBlockEnd,,,10,8,100,100
10,Training-AC,False,False,Global,MissCount,OnBlockEnd,,,11,10,100,100
11,Training-CD,False,False,Global,MissCount,OnBlockEnd,,,12,10,100,100
