ID,Name,BackUpBlock,BackUpBlockErrors,MaxBlockRepetition,MaxBlockRepetitionInSession,EndSessionOnHitCriterion,NextBlockOnHitCriterion,HitCriterion,Reinforcement
1,Training-AB,0,0,0,0,0,0,0,100
2,Training-AB,1,2,0,0,0,0,0,100
3,Training-AB,2,2,0,0,0,0,0,100
4,Training-AB,0,0,0,0,0,0,0,100
5,Training-AB,4,2,0,0,0,0,0,100
6,Training-AB,5,2,0,0,0,0,0,100
7,Training-AB,6,2,0,0,0,0,0,100
8,Training-AB,0,0,0,0,0,0,0,100
9,Training-AB,8,2,0,0,0,0,0,100
10,Training-AB,9,2,0,0,0,0,0,100
11,Training-AB,10,2,0,0,0,0,0,100
12,Training-AB,0,0,0,0,0,0,0,100
13,Training-AB,12,2,0,0,0,0,0,100
14,Training-AB,13,2,0,0,0,0,0,100
15,Training-AB,15,1,3,0,0,16,100,100
