Block,DoCalibration,Instruction,Trial
1,T,M1,1
6,F,M2,1
7,F,M7,1
8,F,M3,1
23,F,M3,1
26,F,M4,1
34,F,M3,1
35,F,M5,1
36,F,M6,1
37,F,M6,1
38,F,M6,1
39,F,M6,1
40,F,M7,1
41,F,M3,1
56,F,M3,1
59,F,M4,1
67,F,M3,1
68,F,M5,1
69,F,M6,1
70,F,M6,1
71,F,M6,1
72,F,M6,1
73,F,M7,1
74,F,M3,1
89,F,M3,1
92,F,M4,1
100,F,M3,1
101,F,M5,1
102,F,M6,1
103,F,M6,1
104,F,M6,1
105,F,M6,1
106,F,M7,1
107,F,M3,1
122,F,M3,1
125,F,M4,1
133,F,M3,1
134,F,M5,1
135,F,M6,1
136,F,M6,1
137,F,M6,1
138,F,M6,1
139,F,M7,1
140,F,M3,1
155,F,M3,1
158,F,M4,1
166,F,M3,1
167,F,M5,1
168,F,M6,1
169,F,M6,1
170,F,M6,1
171,F,M6,1
172,F,M7,1
173,F,M3,1
188,F,M3,1
191,F,M4,1
199,F,M3,1
200,F,M5,1
201,F,M6,1
202,F,M6,1
203,F,M6,1
204,F,M6,1
205,F,M7,1
