ID,Relation,TotalLoops,Trials,HasPrompt,Subset,S1,C2
1,A-C,3,3,F,onset,mat,sat
2,A-C,3,3,F,onset,sat,mat
3,A-C,3,3,T,onset,mat,sat
4,A-C,3,3,T,onset,sat,mat
5,A-C,3,3,F,onset,mib,sib
6,A-C,3,3,F,onset,sib,mib
7,A-C,3,3,T,onset,mib,sib
8,A-C,3,3,T,onset,sib,mib
9,A-C,3,3,F,onset,mob,sob
10,A-C,3,3,F,onset,sob,mob
11,A-C,3,3,T,onset,mob,sob
12,A-C,3,3,T,onset,sob,mob
13,A-C,3,3,F,onset,mup,sup
14,A-C,3,3,F,onset,sup,mup
15,A-C,3,3,T,onset,mup,sup
16,A-C,3,3,T,onset,sup,mup
17,A-C,3,3,F,onset,min,sin
18,A-C,3,3,F,onset,sin,min
19,A-C,3,3,T,onset,min,sin
20,A-C,3,3,T,onset,sin,min
21,A-C,3,3,F,onset,med,sed
22,A-C,3,3,F,onset,sed,med
23,A-C,3,3,T,onset,med,sed
24,A-C,3,3,T,onset,sed,med
25,A-C,3,3,F,rime,kog,kib
26,A-C,3,3,F,rime,kib,kog
27,A-C,3,3,T,rime,kog,kib
28,A-C,3,3,T,rime,kib,kog
29,A-C,3,3,F,rime,sog,sib
30,A-C,3,3,F,rime,sib,sog
31,A-C,3,3,T,rime,sog,sib
32,A-C,3,3,T,rime,sib,sog
33,A-C,3,3,F,rime,nog,nib
34,A-C,3,3,F,rime,nib,nog
35,A-C,3,3,T,rime,nog,nib
36,A-C,3,3,T,rime,nib,nog
37,A-C,3,3,F,rime,tog,tib
38,A-C,3,3,F,rime,tib,tog
39,A-C,3,3,T,rime,tog,tib
40,A-C,3,3,T,rime,tib,tog
41,A-C,3,3,F,rime,mog,mib
42,A-C,3,3,F,rime,mib,mog
43,A-C,3,3,T,rime,mog,mib
44,A-C,3,3,T,rime,mib,mog
45,A-C,3,3,F,rime,pog,pib
46,A-C,3,3,F,rime,pib,pog
47,A-C,3,3,T,rime,pog,pib
48,A-C,3,3,T,rime,pib,pog
49,A-C,3,3,F,coda,mot,mog
50,A-C,3,3,F,coda,mog,mot
51,A-C,3,3,T,coda,mot,mog
52,A-C,3,3,T,coda,mog,mot
53,A-C,3,3,F,coda,sot,sog
54,A-C,3,3,F,coda,sog,sot
55,A-C,3,3,T,coda,sot,sog
56,A-C,3,3,T,coda,sog,sot
57,A-C,3,3,F,coda,bot,bog
58,A-C,3,3,F,coda,bog,bot
59,A-C,3,3,T,coda,bot,bog
60,A-C,3,3,T,coda,bog,bot
61,A-C,3,3,F,coda,rot,rog
62,A-C,3,3,F,coda,rog,rot
63,A-C,3,3,T,coda,rot,rog
64,A-C,3,3,T,coda,rog,rot
65,A-C,3,3,F,coda,tep,tek
66,A-C,3,3,F,coda,tek,tep
67,A-C,3,3,T,coda,tep,tek
68,A-C,3,3,T,coda,tek,tep
69,A-C,3,3,F,coda,rep,rek
70,A-C,3,3,F,coda,rek,rep
71,A-C,3,3,T,coda,rep,rek
72,A-C,3,3,T,coda,rek,rep
73,A-C,3,3,F,coda,nep,nek
74,A-C,3,3,F,coda,nek,nep
75,A-C,3,3,T,coda,nep,nek
76,A-C,3,3,T,coda,nek,nep
77,A-C,3,3,F,coda,fep,fek
78,A-C,3,3,F,coda,fek,fep
79,A-C,3,3,T,coda,fep,fek
80,A-C,3,3,T,coda,fek,fep
81,A-C,3,3,F,coda,jep,jek
82,A-C,3,3,F,coda,jek,jep
83,A-C,3,3,T,coda,jep,jek
84,A-C,3,3,T,coda,jek,jep
85,A-C,3,3,F,vowel,kog,kag
86,A-C,3,3,F,vowel,kag,kog
87,A-C,3,3,T,vowel,kog,kag
88,A-C,3,3,T,vowel,kag,kog
89,A-C,3,3,F,vowel,sog,sag
90,A-C,3,3,F,vowel,sag,sog
91,A-C,3,3,T,vowel,sog,sag
92,A-C,3,3,T,vowel,sag,sog
93,A-C,3,3,F,vowel,nog,nag
94,A-C,3,3,F,vowel,nag,nog
95,A-C,3,3,T,vowel,nog,nag
96,A-C,3,3,T,vowel,nag,nog
97,A-C,3,3,F,vowel,tog,tag
98,A-C,3,3,F,vowel,tag,tog
99,A-C,3,3,T,vowel,tog,tag
100,A-C,3,3,T,vowel,tag,tog
101,A-C,3,3,F,vowel,mog,mag
102,A-C,3,3,F,vowel,mag,mog
103,A-C,3,3,T,vowel,mog,mag
104,A-C,3,3,T,vowel,mag,mog
105,A-C,3,3,F,vowel,pog,pag
106,A-C,3,3,F,vowel,pag,pog
107,A-C,3,3,T,vowel,pog,pag
108,A-C,3,3,T,vowel,pag,pog
