ID,Cycle,Condition,Trials,Relation,Code,Comparisons
1,1,1,1,A-B,T1,1
2,1,1,2,A-B,T1,2
3,1,1,3,A-B,T1,3
4,1,1,1,A-B,T2,1
5,1,1,2,A-B,T2,2
6,1,1,2,A-B,T1,2
7,1,1,2,A-B,T2,2
8,1,1,3,A-B,T1,3
9,1,1,3,A-B,T2,3
10,1,1,1,A-B,R1,1
11,1,1,2,A-B,R1,2
12,1,1,2,A-B,R1,2
13,1,1,2,A-B,T2,2
14,1,1,2,A-B,T1,2
15,1,1,3,A-B,R1,3
16,1,1,3,A-B,T2,3
17,1,1,3,A-B,T1,3
18,1,1,1,A-B,R2,1
19,1,1,2,A-B,R2,2
20,1,1,2,A-B,R2,2
21,1,1,2,A-B,R1,2
22,1,1,2,A-B,T2,2
23,1,1,2,A-B,T1,2
24,1,1,3,A-B,R2,3
25,1,1,3,A-B,R1,3
26,1,1,3,A-B,T2,3
27,1,1,3,A-B,T1,3
28,1,2,1,A-C,T1,1
29,1,2,4,A-C,T1,2
30,1,2,6,A-C,T1,3
31,1,2,2,C-D,T1,1
32,1,2,1,A-C,T2,1
33,1,2,4,A-C,T2,2
34,1,2,4,A-C,T2,2
35,1,2,4,A-C,T1,2
36,1,2,6,A-C,T2,3
37,1,2,3,A-C,T1,3
38,1,2,2,C-D,T2,1
39,1,2,3,A-C,T2,3
40,1,2,3,A-C,T1,3
41,1,2,2,C-D,T1,1
42,1,2,2,C-D,T2,1
43,1,3,3,B-C,T1,3
44,1,3,3,B-C,T2,3
45,1,3,3,C-B,T1,3
46,1,3,3,C-B,T2,3
47,1,4,5,B-C,R1,3
48,1,4,5,B-C,R2,3
49,1,4,5,C-B,R1,3
50,1,4,5,C-B,R2,3
51,1,5,2,C-D,A1,1
52,1,5,2,C-D,A2,1
53,1,5,2,C-D,R1,1
54,1,5,2,C-D,R2,1
55,1,6,2,A-C,A1,3
56,1,6,2,A-C,A2,3
57,1,6,2,A-C,R1,3
58,1,6,2,A-C,R2,3
59,1,7,2,C-D,T01,1
60,1,7,2,C-D,T02,1
61,1,7,2,C-D,T03,1
62,1,7,2,C-D,T04,1
63,1,7,2,C-D,T05,1
64,1,7,2,C-D,T06,1
65,1,7,2,C-D,T07,1
66,1,7,2,C-D,T08,1
67,1,7,2,C-D,T09,1
68,1,7,2,C-D,T10,1
69,1,7,2,C-D,T11,1
70,1,7,2,C-D,T12,1
71,1,7,2,C-D,R01,1
72,1,7,2,C-D,R02,1
73,1,7,2,C-D,A01,1
74,1,7,2,C-D,A02,1
75,1,7,2,C-D,A03,1
76,1,7,2,C-D,A04,1
77,1,7,2,C-D,A05,1
78,1,7,2,C-D,A06,1
79,1,7,2,C-D,A07,1
80,1,7,2,C-D,A08,1
81,1,7,2,C-D,A09,1
82,1,7,2,C-D,A10,1
83,1,7,2,C-D,A11,1
84,1,7,2,C-D,A12,1
85,0,0,1,B-B,X1,1
86,0,0,2,B-B,X1,2
87,0,0,1,B-B,X2,1
88,0,0,2,B-B,X2,2
89,0,0,2,B-B,X1,2
90,0,0,2,B-B,X2,2
